,name,stock_quantity,total_sold,price,stock_history
,Cà phê sữa đá hoà tan The Coffee House hộp 10 gói x 22g,543.0,65231,49000.0,"{
  ""stock_history"": [{
  ""date"": ""2025-03-07"",
  ""stock_increased"": ""9.0"",
  ""stock_decreased"": ""28.0""
  }, {
  ""date"": ""2025-03-08"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""20.0""
  }, {
  ""date"": ""2025-03-09"",
  ""stock_increased"": ""8.0"",
  ""stock_decreased"": ""22.0""
  }, {
  ""date"": ""2025-03-10"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""13.0""
  }, {
  ""date"": ""2025-03-11"",
  ""stock_increased"": ""44.0"",
  ""stock_decreased"": ""9.0""
  }, {
  ""date"": ""2025-03-12"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""27.0""
  }, {
  ""date"": ""2025-03-13"",
  ""stock_increased"": ""16.0"",
  ""stock_decreased"": ""18.0""
  }, {
  ""date"": ""2025-03-14"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""16.0""
  }, {
  ""date"": ""2025-03-15"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""27.0""
  }, {
  ""date"": ""2025-03-16"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""48.0""
  }, {
  ""date"": ""2025-03-17"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""32.0""
  }, {
  ""date"": ""2025-03-18"",
  ""stock_increased"": ""4.0"",
  ""stock_decreased"": ""18.0""
  }, {
  ""date"": ""2025-03-19"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""10.0""
  }, {
  ""date"": ""2025-03-20"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""8.0""
  }, {
  ""date"": ""2025-03-24"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-25"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-26"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-27"",
  ""stock_increased"": ""19.0"",
  ""stock_decreased"": ""1.0""
  }, {
  ""date"": ""2025-03-28"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }]
 }"
,Cà phê sữa đá Highlands Coffee 235ml (1 lon),1311.0,38238,14800.0,"{
  ""stock_history"": [{
  ""date"": ""2025-03-07"",
  ""stock_increased"": ""11.0"",
  ""stock_decreased"": ""67.0""
  }, {
  ""date"": ""2025-03-08"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""52.0""
  }, {
  ""date"": ""2025-03-09"",
  ""stock_increased"": ""23.0"",
  ""stock_decreased"": ""49.0""
  }, {
  ""date"": ""2025-03-10"",
  ""stock_increased"": ""39.0"",
  ""stock_decreased"": ""26.0""
  }, {
  ""date"": ""2025-03-11"",
  ""stock_increased"": ""99.0"",
  ""stock_decreased"": ""100.0""
  }, {
  ""date"": ""2025-03-12"",
  ""stock_increased"": ""3.0"",
  ""stock_decreased"": ""75.0""
  }, {
  ""date"": ""2025-03-13"",
  ""stock_increased"": ""54.0"",
  ""stock_decreased"": ""76.0""
  }, {
  ""date"": ""2025-03-14"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""69.0""
  }, {
  ""date"": ""2025-03-15"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""105.0""
  }, {
  ""date"": ""2025-03-16"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""57.0""
  }, {
  ""date"": ""2025-03-17"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""80.0""
  }, {
  ""date"": ""2025-03-18"",
  ""stock_increased"": ""6.0"",
  ""stock_decreased"": ""84.0""
  }, {
  ""date"": ""2025-03-19"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""54.0""
  }, {
  ""date"": ""2025-03-20"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""23.0""
  }, {
  ""date"": ""2025-03-24"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-25"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-26"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-27"",
  ""stock_increased"": ""141.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-28"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }]
 }"
,Cà phê sữa đá Highlands Coffee 180ml (1 Hộp),82.0,19755,9500.0,"{
  ""stock_history"": [{
  ""date"": ""2025-03-14"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""1.0""
  }, {
  ""date"": ""2025-03-15"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""2.0""
  }, {
  ""date"": ""2025-03-16"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-17"",
  ""stock_increased"": ""12.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-18"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-19"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-20"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""2.0""
  }, {
  ""date"": ""2025-03-24"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-25"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-26"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-27"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }]
 }"
,Cà phê sữa hoà tan đậm vị Việt The Coffee House hộp 18 gói x 16g (1 Hộp),13.0,19168,58000.0,"{
  ""stock_history"": [{
  ""date"": ""2025-03-14"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""1.0""
  }, {
  ""date"": ""2025-03-15"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-16"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-17"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-18"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-19"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-20"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-24"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-25"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-26"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-27"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }]
 }"
,Cà phê hoà tan đen G7 hộp 15 gói,555.0,18763,42000.0,"{
  ""stock_history"": [{
  ""date"": ""2025-03-07"",
  ""stock_increased"": ""4.0"",
  ""stock_decreased"": ""15.0""
  }, {
  ""date"": ""2025-03-08"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""17.0""
  }, {
  ""date"": ""2025-03-09"",
  ""stock_increased"": ""14.0"",
  ""stock_decreased"": ""27.0""
  }, {
  ""date"": ""2025-03-10"",
  ""stock_increased"": ""4.0"",
  ""stock_decreased"": ""4.0""
  }, {
  ""date"": ""2025-03-11"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""32.0""
  }, {
  ""date"": ""2025-03-12"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""9.0""
  }, {
  ""date"": ""2025-03-13"",
  ""stock_increased"": ""8.0"",
  ""stock_decreased"": ""14.0""
  }, {
  ""date"": ""2025-03-14"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""18.0""
  }, {
  ""date"": ""2025-03-15"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""18.0""
  }, {
  ""date"": ""2025-03-16"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""16.0""
  }, {
  ""date"": ""2025-03-17"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""18.0""
  }, {
  ""date"": ""2025-03-18"",
  ""stock_increased"": ""9.0"",
  ""stock_decreased"": ""9.0""
  }, {
  ""date"": ""2025-03-19"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""7.0""
  }, {
  ""date"": ""2025-03-20"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""23.0""
  }, {
  ""date"": ""2025-03-24"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-25"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-26"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-27"",
  ""stock_increased"": ""23.0"",
  ""stock_decreased"": ""16.0""
  }, {
  ""date"": ""2025-03-28"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }]
 }"
,Cà phên 3in1 G7 hộp 21 gói x 16g,611.0,18257,89000.0,"{
  ""stock_history"": [{
  ""date"": ""2025-03-07"",
  ""stock_increased"": ""9.0"",
  ""stock_decreased"": ""20.0""
  }, {
  ""date"": ""2025-03-08"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""17.0""
  }, {
  ""date"": ""2025-03-09"",
  ""stock_increased"": ""1.0"",
  ""stock_decreased"": ""22.0""
  }, {
  ""date"": ""2025-03-10"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""28.0""
  }, {
  ""date"": ""2025-03-11"",
  ""stock_increased"": ""16.0"",
  ""stock_decreased"": ""18.0""
  }, {
  ""date"": ""2025-03-12"",
  ""stock_increased"": ""8.0"",
  ""stock_decreased"": ""33.0""
  }, {
  ""date"": ""2025-03-13"",
  ""stock_increased"": ""8.0"",
  ""stock_decreased"": ""1.0""
  }, {
  ""date"": ""2025-03-14"",
  ""stock_increased"": ""3.0"",
  ""stock_decreased"": ""4.0""
  }, {
  ""date"": ""2025-03-15"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""17.0""
  }, {
  ""date"": ""2025-03-16"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""24.0""
  }, {
  ""date"": ""2025-03-17"",
  ""stock_increased"": ""4.0"",
  ""stock_decreased"": ""14.0""
  }, {
  ""date"": ""2025-03-18"",
  ""stock_increased"": ""4.0"",
  ""stock_decreased"": ""12.0""
  }, {
  ""date"": ""2025-03-19"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""16.0""
  }, {
  ""date"": ""2025-03-20"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""27.0""
  }, {
  ""date"": ""2025-03-24"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-25"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-26"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-27"",
  ""stock_increased"": ""24.0"",
  ""stock_decreased"": ""1.0""
  }, {
  ""date"": ""2025-03-28"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }]
 }"
,Cà phê sữa đá 3in1 Nescafe hộp 10 gói x 20g,561.0,15347,50000.0,"{
  ""stock_history"": [{
  ""date"": ""2025-03-07"",
  ""stock_increased"": ""8.0"",
  ""stock_decreased"": ""6.0""
  }, {
  ""date"": ""2025-03-08"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""3.0""
  }, {
  ""date"": ""2025-03-09"",
  ""stock_increased"": ""4.0"",
  ""stock_decreased"": ""12.0""
  }, {
  ""date"": ""2025-03-10"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""17.0""
  }, {
  ""date"": ""2025-03-11"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""18.0""
  }, {
  ""date"": ""2025-03-12"",
  ""stock_increased"": ""4.0"",
  ""stock_decreased"": ""9.0""
  }, {
  ""date"": ""2025-03-13"",
  ""stock_increased"": ""2.0"",
  ""stock_decreased"": ""16.0""
  }, {
  ""date"": ""2025-03-14"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""16.0""
  }, {
  ""date"": ""2025-03-15"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""12.0""
  }, {
  ""date"": ""2025-03-16"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""16.0""
  }, {
  ""date"": ""2025-03-17"",
  ""stock_increased"": ""1.0"",
  ""stock_decreased"": ""11.0""
  }, {
  ""date"": ""2025-03-18"",
  ""stock_increased"": ""6.0"",
  ""stock_decreased"": ""8.0""
  }, {
  ""date"": ""2025-03-19"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""7.0""
  }, {
  ""date"": ""2025-03-20"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""7.0""
  }, {
  ""date"": ""2025-03-24"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-25"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-26"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-27"",
  ""stock_increased"": ""21.0"",
  ""stock_decreased"": ""6.0""
  }, {
  ""date"": ""2025-03-28"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }]
 }"
,Cà phê Trung Nguyên sáng tạo 1 gói 340g,476.0,12694,97000.0,"{
  ""stock_history"": [{
  ""date"": ""2025-03-07"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-08"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-09"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""4.0""
  }, {
  ""date"": ""2025-03-10"",
  ""stock_increased"": ""5.0"",
  ""stock_decreased"": ""3.0""
  }, {
  ""date"": ""2025-03-11"",
  ""stock_increased"": ""5.0"",
  ""stock_decreased"": ""4.0""
  }, {
  ""date"": ""2025-03-12"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""4.0""
  }, {
  ""date"": ""2025-03-13"",
  ""stock_increased"": ""1.0"",
  ""stock_decreased"": ""6.0""
  }, {
  ""date"": ""2025-03-14"",
  ""stock_increased"": ""340.0"",
  ""stock_decreased"": ""10.0""
  }, {
  ""date"": ""2025-03-15"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""24.0""
  }, {
  ""date"": ""2025-03-16"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""14.0""
  }, {
  ""date"": ""2025-03-17"",
  ""stock_increased"": ""10.0"",
  ""stock_decreased"": ""12.0""
  }, {
  ""date"": ""2025-03-18"",
  ""stock_increased"": ""12.0"",
  ""stock_decreased"": ""12.0""
  }, {
  ""date"": ""2025-03-19"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""7.0""
  }, {
  ""date"": ""2025-03-20"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""6.0""
  }, {
  ""date"": ""2025-03-24"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-25"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-26"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-27"",
  ""stock_increased"": ""17.0"",
  ""stock_decreased"": ""5.0""
  }, {
  ""date"": ""2025-03-28"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }]
 }"
,Cà phê rang xay Gold 3in1 Cà Phê Phố hộp 10 gói x 29g (1 Hộp),681.0,12291,66000.0,"{
  ""stock_history"": [{
  ""date"": ""2025-03-07"",
  ""stock_increased"": ""5.0"",
  ""stock_decreased"": ""16.0""
  }, {
  ""date"": ""2025-03-08"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""14.0""
  }, {
  ""date"": ""2025-03-09"",
  ""stock_increased"": ""16.0"",
  ""stock_decreased"": ""21.0""
  }, {
  ""date"": ""2025-03-10"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""28.0""
  }, {
  ""date"": ""2025-03-11"",
  ""stock_increased"": ""40.0"",
  ""stock_decreased"": ""26.0""
  }, {
  ""date"": ""2025-03-12"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""17.0""
  }, {
  ""date"": ""2025-03-13"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""18.0""
  }, {
  ""date"": ""2025-03-14"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""12.0""
  }, {
  ""date"": ""2025-03-15"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""14.0""
  }, {
  ""date"": ""2025-03-16"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""16.0""
  }, {
  ""date"": ""2025-03-17"",
  ""stock_increased"": ""8.0"",
  ""stock_decreased"": ""21.0""
  }, {
  ""date"": ""2025-03-18"",
  ""stock_increased"": ""4.0"",
  ""stock_decreased"": ""11.0""
  }, {
  ""date"": ""2025-03-19"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""6.0""
  }, {
  ""date"": ""2025-03-20"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""10.0""
  }, {
  ""date"": ""2025-03-24"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-25"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-26"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-27"",
  ""stock_increased"": ""133.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-28"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }]
 }"
,Cà phê đậm đà hài hòa Nescafe hộp 20 gói x 17g,356.0,11641,67000.0,"{
  ""stock_history"": [{
  ""date"": ""2025-03-07"",
  ""stock_increased"": ""4.0"",
  ""stock_decreased"": ""4.0""
  }, {
  ""date"": ""2025-03-08"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""4.0""
  }, {
  ""date"": ""2025-03-09"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""2.0""
  }, {
  ""date"": ""2025-03-10"",
  ""stock_increased"": ""3.0"",
  ""stock_decreased"": ""1.0""
  }, {
  ""date"": ""2025-03-11"",
  ""stock_increased"": ""1.0"",
  ""stock_decreased"": ""3.0""
  }, {
  ""date"": ""2025-03-12"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""5.0""
  }, {
  ""date"": ""2025-03-13"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""3.0""
  }, {
  ""date"": ""2025-03-14"",
  ""stock_increased"": ""329.0"",
  ""stock_decreased"": ""2.0""
  }, {
  ""date"": ""2025-03-15"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""16.0""
  }, {
  ""date"": ""2025-03-16"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""20.0""
  }, {
  ""date"": ""2025-03-17"",
  ""stock_increased"": ""13.0"",
  ""stock_decreased"": ""9.0""
  }, {
  ""date"": ""2025-03-18"",
  ""stock_increased"": ""2.0"",
  ""stock_decreased"": ""11.0""
  }, {
  ""date"": ""2025-03-19"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""6.0""
  }, {
  ""date"": ""2025-03-20"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""11.0""
  }, {
  ""date"": ""2025-03-24"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-25"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-26"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }, {
  ""date"": ""2025-03-27"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""32.0""
  }, {
  ""date"": ""2025-03-28"",
  ""stock_increased"": ""0.0"",
  ""stock_decreased"": ""0.0""
  }]
 }"
